一	1
呆	119,186
呃	119,22,76
吳	119,12,105
呈	119,5,99
呂	119,5,119
君	271,119
吩	119,48,81
告	226,119
吹	119,62,45
吻	119,245
吸	119,246
吮	119,88,55
吵	119,160,5
吶	119,217
吠	119,192
吼	119,163,9
呀	119,203
吱	119,20,84
含	45,1,17,119
吟	119,45,1,17
听	119,232
囪	5,120,129
困	120,185
囤	120,198
囫	120,245
坊	100,67,61
坑	100,67,57
址	100,206
坍	100,241
均	100,64,19
坎	100,62,45
圾	100,246
坐	47,47,99
坏	100,191
圻	100,232
壯	266,101
夾	105,47,47
妝	266,155
妒	156,236
妨	156,67,61
妞	156,267
妣	156,25,24
妙	156,160,5
妖	156,5,105
妍	156,1,108
妤	156,89,16,10
妓	156,20,84
妊	156,1,101;156,95,1
妥	234,155
孝	180,162
孜	163,221
孚	234,162
孛	20,72,162
完	139,19,55
宋	139,184
宏	139,23,88
尬	107,45,43
局	142,11,119
屁	142,25,24
尿	142,275
尾	142,222
岐	121,20,84
岑	121,45,1,17
岔	48,81,121
岌	121,246
巫	102,47,47
希	54,23,122
序	138,89,16,10
庇	138,25,24
床	138,184
廷	157,5,99
弄	173,108
弟	70,265,5
彤	241,128
形	1,108,128
彷	127,67,61
役	127,58,84
忘	67,15,257
忌	143,257
志	101,257
忍	6,81,257
忱	259,255
快	259,264
忸	259,267
忪	259,48,88
戒	202,108
我	435
抄	220,160,5
抗	220,67,57
抖	220,71,20
技	220,20,84
扶	220,176
抉	220,264
扭	220,267
把	220,268
扼	220,22,76
找	220,202
批	220,25,24
扳	220,22,84
抒	220,89,16,10
扯	220,206
折	220,232
扮	220,48,81
投	220,58,84
抓	220,233
抑	220,65,75
抆	220,247
改	144,221
攻	103,221
攸	46,3,221
旱	209,95
更	421
束	423
李	185,162
杏	185,119
材	185,116
村	185,113
杜	185,99
杖	185,110
杞	185,143
杉	185,128
杆	185,95
杠	185,102
杓	185,64,6
杗	67,15,186
步	206,118
每	42,274
求	427
汞	102,275
沙	277,160,5
沁	277,257
沈	277,255
沉	277,72,55
沅	277,19,55
沛	277,189
汪	277,173
決	277,264
沐	277,184
汰	277,105,6
沌	277,198
汨	277,209
沖	277,214
沒	277,61,84
汽	277,223
沃	277,5,105
汲	277,246
汾	277,48,81
汴	277,67,37
沆	277,67,57
汶	277,247
沍	277,1,164
沔	277,181
沘	277,25,24
沂	277,232
灶	250,99
灼	250,64,6
災	170,249
灸	133,249
牢	139,224
牡	225,99
牠	225,154
狄	194,249
狂	194,173
玖	174,132
甬	89,39,97
甫	420
男	301,83
甸	64,301
皂	331,30
盯	298,32
矣	88,42,105
私	326,88
秀	326,87
禿	326,55
究	139,50,90
系	5,416
罕	72,50,95
肖	161,382
肓	67,15,382
肝	382,95
肘	382,113
肛	382,102
肚	382,99
育	115,382
良	6,412
芒	204,67,15
芋	204,96
芍	204,64,6
見	432
角	63,40,99
言	442
谷	49,45,119
豆	1,119,140
豕	426
貝	434
赤	99,242
走	99,207
足	119,207
身	437
車	419
辛	339,20
辰	22,19,158
迂	253,96
迆	253,154
迅	253,13,20
迄	253,42,8
巡	253,170
邑	119,268
邢	1,108,166
邪	203,166
邦	228,166
那	11,98,166
酉	425
釆	439
里	429
防	166,67,61
阮	166,19,55
阱	166,175
阪	166,22,84
阬	166,67,57
並	140,314
乖	126,117,26
乳	234,163,9
事	452
些	208,27,19
亞	449
享	67,119,162
